Sample holder length =	6.9500e-003 meters
Sample thickness =	2.0000e-003 meters
Distance to sample =	0.0000e+000 meters
Sample holder Fco =	0.0000e+000 GHz
 
frequency	s11r	s11i	s21r	s21i	s12r	s12i	s22r	s22i
13040000000.0000	  -0.5981	   0.0226	  -0.3448	   0.2365	  -0.3410	   0.2415	   0.5876	   0.0907
13120000000.0000	  -0.5919	   0.0241	  -0.3358	   0.2442	  -0.3353	   0.2487	   0.5862	   0.0802
13200000000.0000	  -0.5848	   0.0222	  -0.3291	   0.2505	  -0.3301	   0.2561	   0.5843	   0.0693
13280000000.0000	  -0.5862	   0.0205	  -0.3278	   0.2571	  -0.3250	   0.2631	   0.5815	   0.0592
13360000000.0000	  -0.5838	   0.0230	  -0.3223	   0.2658	  -0.3185	   0.2706	   0.5796	   0.0498
13440000000.0000	  -0.5751	   0.0227	  -0.3125	   0.2719	  -0.3120	   0.2778	   0.5774	   0.0393
13520000000.0000	  -0.5720	   0.0194	  -0.3067	   0.2789	  -0.3055	   0.2844	   0.5749	   0.0296
13600000000.0000	  -0.5718	   0.0202	  -0.3028	   0.2862	  -0.2991	   0.2904	   0.5722	   0.0205
13680000000.0000	  -0.5657	   0.0235	  -0.2947	   0.2915	  -0.2919	   0.2976	   0.5703	   0.0116
13760000000.0000	  -0.5588	   0.0188	  -0.2873	   0.2968	  -0.2852	   0.3042	   0.5670	   0.0026
13840000000.0000	  -0.5587	   0.0163	  -0.2824	   0.3049	  -0.2778	   0.3103	   0.5635	  -0.0059
13920000000.0000	  -0.5575	   0.0191	  -0.2746	   0.3120	  -0.2703	   0.3148	   0.5606	  -0.0144
14000000000.0000	  -0.5474	   0.0193	  -0.2641	   0.3135	  -0.2626	   0.3214	   0.5578	  -0.0229
14080000000.0000	  -0.5439	   0.0131	  -0.2598	   0.3189	  -0.2559	   0.3271	   0.5538	  -0.0305
14160000000.0000	  -0.5474	   0.0130	  -0.2533	   0.3296	  -0.2484	   0.3326	   0.5500	  -0.0385
14240000000.0000	  -0.5413	   0.0158	  -0.2424	   0.3335	  -0.2396	   0.3373	   0.5471	  -0.0457
14320000000.0000	  -0.5306	   0.0107	  -0.2345	   0.3323	  -0.2318	   0.3432	   0.5441	  -0.0528
14400000000.0000	  -0.5319	   0.0073	  -0.2310	   0.3412	  -0.2249	   0.3474	   0.5397	  -0.0595
14480000000.0000	  -0.5328	   0.0121	  -0.2203	   0.3514	  -0.2163	   0.3521	   0.5357	  -0.0672
14560000000.0000	  -0.5237	   0.0109	  -0.2093	   0.3515	  -0.2068	   0.3566	   0.5320	  -0.0736
14640000000.0000	  -0.5190	   0.0029	  -0.2025	   0.3526	  -0.1987	   0.3621	   0.5302	  -0.0794
14720000000.0000	  -0.5227	   0.0039	  -0.1961	   0.3620	  -0.1911	   0.3651	   0.5255	  -0.0871
14800000000.0000	  -0.5179	   0.0076	  -0.1848	   0.3675	  -0.1817	   0.3688	   0.5208	  -0.0939
14880000000.0000	  -0.5089	  -0.0013	  -0.1782	   0.3658	  -0.1720	   0.3731	   0.5186	  -0.0993
14960000000.0000	  -0.5102	  -0.0052	  -0.1687	   0.3712	  -0.1633	   0.3777	   0.5155	  -0.1059
15040000000.0000	  -0.5116	   0.0003	  -0.1566	   0.3775	  -0.1548	   0.3787	   0.5100	  -0.1126
15120000000.0000	  -0.5026	  -0.0039	  -0.1489	   0.3762	  -0.1452	   0.3813	   0.5062	  -0.1189
15200000000.0000	  -0.5003	  -0.0161	  -0.1456	   0.3775	  -0.1351	   0.3851	   0.5043	  -0.1251
15280000000.0000	  -0.5043	  -0.0155	  -0.1319	   0.3854	  -0.1270	   0.3886	   0.5000	  -0.1305
15360000000.0000	  -0.4972	  -0.0111	  -0.1185	   0.3853	  -0.1177	   0.3883	   0.4956	  -0.1360
15440000000.0000	  -0.4905	  -0.0236	  -0.1166	   0.3823	  -0.1073	   0.3908	   0.4927	  -0.1439
